id,form,type,translation_lexeme,analysis,translation
134.1,vaya,word,driver,DHATU.aja~.Bhvadi MW.aj.1927 KRT.ac Voc.M.S,O one who drives[√अज् अच्] away darkness(literally as the Sun and spiritually)[R]
135.1,hara,stem,Seizer,MW.hara.260678,"O Seizer[MBh], O Roarer[√रु अच्]"
135.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,"O Seizer[MBh], O Roarer[√रु अच्]"
136.1,rava,stem,roaring,DHATU.ru. KRT.ac Voc.M.S,O roaring[√रु अच्] Seizer[MBh]
136.1,hara,word,Seizer,MW.hara.260678 Voc.M.S,O roaring[√रु अच्] Seizer[MBh]
137.1,anan,word,breathes,DHATU.ana~.Adadi KRT.Satf Nom.M.S,One who breathes[√अन् शतृ RV 10.129.2]
138.1,maYjana,word,roarer,DHATU.maYja~. KRT.lyuw Voc.M.S,O Roaring one[√मञ्ज् शतृ]
139.1,varAn,word,excellent,MW.varA.186779.40 Acc.M.P,The most excellent ones[MBh]
144.1,raka,stem,gem,MW.raka.173044,gem[W] of chosen[MBh] gems entrance[Mcar]
144.1,vara,stem,chosen,MW.vara.203979,gem[W] of chosen[MBh] gems entrance[Mcar]
144.1,raka,stem,gem,MW.raka.173044,gem[W] of chosen[MBh] gems entrance[Mcar]
144.1,araraH,word,entrance,MW.arara.15189 Nom.M.S,gem[W] of chosen[MBh] gems entrance[Mcar]
145.1,rava,word,Roarer,DHATU.ru. KRT.ac Voc.M.S,"O Roarer[√रु अच्], O fearless one[ŚBr][two names of Shiva]"
145.1,aBaya,word,fearless,MW.aBaya.11125 Voc.M.S,"O Roarer[√रु अच्], O fearless one[ŚBr][two names of Shiva]"
149.1,mama,word,my,PRON.asmad. Gen.M.S,my[RV]
150.1,parRa,word,foliage,MW.parRa.119473 Voc.M.S,O green foliage[RV; SR:harikeśa]
153.1,kara,word,creator,MW.kara.44037.1 Voc.M.S,O creator[AV]
157.1,hAna,word,destroying,MW.hAna.262517 Voc.M.S,O destroyer[Bhartṛ; √हा क्त; agentive AA 3.3.174]
158.1,fdDa,stem,prosperous-given,MW.fdDa.38931,The sign[RV] of ṛddha-datta(Name: prosperous-given)[√ऋध् क्त]
158.1,datta,stem,given,MW.datta.89797,The sign[RV] of ṛddha-datta(Name: prosperous-given)[√ऋध् क्त]
158.1,nAman,word,Name,MW.nAman.105826 Voc.M.S,The sign[RV] of ṛddha-datta(Name: prosperous-given)[√ऋध् क्त]
159.1,da,word,generous,MW.da.89220 Voc.M.S,O generous one[MS]
162.2,maja,word,Roarer,DHATU.maja~. KRT.ac Voc.M.S,O Roarer[√मज् अच्]
170.1,cAnam,word,Destroyer,DHATU.cana~.Bhvadi KRT.ac Acc.M.S,The Destroyer[√चन् अच्]
176.1,jAm,word,destroyer,MW.jA.76162 Acc.M.S,The destroyer[√जै अच्]
179.1,A,word,breathes,DHATU.ana~.Adadi KRT.kvip Nom.M.S,The who breathes[√अन् nms]
182.1,yaH,word,wind,MW.ya.168984 Nom.M.S,Prajāpati (कः)[यः आत्मदा RV 10.121]
