id,word,seal_id,code,modifier,pratyaya,kartari,gender,vacana,purusha,vibhakti,comment
390,tava,*,MW:tava,,,,,,,,
391,tAva,*,MW:tAva,,,,,,,,
392,tman,*,MW:tman,,,,,,,,
393,tuYja,*,MW:tuYja,,,,,,,,
394,tva,*,MW:tva,,,,,,,,
395,tvat,*,MW:tvat,,,,,,,,
396,ud,*,MW:ud,,,,,,,,
397,unna,*,MW:unna,,,,,,,,
398,upa,*,MW:upa,,,,,,,,
399,upayama,*,MW:upayama,,,,,,,,
400,upya,*,MW:upya,,,,,,,,
401,ut,*,MW:ut,,,,,,,,
402,uzA,*,MW:uzA,,,,,,,,
403,uzRa,*,MW:uzRa,,,,,,,,
404,vaca,*,MW:vaca,,,,,,,,
405,vaha,*,MW:vaha,,,,,,,,
406,vAha,*,MW:vAha,sup,,,1,1,,8,
407,vAhas,*,MW:vAhas,,,,,,,,
408,vaja,*,MW:vaja,,,,,,,,
409,vala,*,MW:vala,,,,,,,,
410,vallaBa,*,MW:vallaBa,,,,,,,,
411,vama,*,MW:vama,,,,,,,,
412,vAma,*,MW:vAma,,,,,,,,
413,vamajA,*,MW:vamajA,,,,,,,,
414,vana,*,MW:vana,,,,,,,,
415,vapa,*,MW:vapa,,,,,,,,
416,vara,*,MW:vara,,,,,,,,
417,varAraka,*,MW:varAraka,,,,,,,,
418,varma,*,MW:varma,,,,,,,,
419,varRa,*,MW:varRa,,,,,,,,
420,varzA,*,MW:varzA,,,,,,,,
421,vawa,*,MW:vawa,,,,,,,,
422,yad,*,MW:yad,,,,,,,,
423,yaja,*,MW:yaja,,,,,,,,
424,yajaH,*,MW:yajaH,,,,,,,,
425,yama,*,MW:yama,,,,,,,,
426,yAna,*,MW:yAna,,,,,,,,
427,zaq,*,MW:zaq,,,,,,,,
428,Sam,*,MW:Sam,,,,,,,,
429,mama,*,MW:mama,,,,,,,,
430,dahra,*,MW:dahra,sup,,,1,1,,8,
431,avasam,*,MW:avasa,sup,,,3,1,,2,
432,dadAtu,*,MW:dA,,,,,,,,
433,naktan,*,MW:naktan,,,,,,,,
434,namana,*,MW:namana,,,,,,,,
435,va,*,MW:va,,,,,,,,
436,ha,*,MW:ha,,,,,,,,
437,mA,*,MW:mA,,,,,,,,
438,sadaya,*,MW:sadaya,,,,,,,,
439,jajara,*,1.1098,tin,,plit,,1,3,,
440,an,*,MW:an,sup,,,1,1,,8,
441,naya,*,MW:naya,sup,,,1,1,,8,
442,awa,*,1.0332,krt,ac,,1,1,,8,
443,amaM,*,MW:ama,sup,,,1,1,,2,
444,ajA,*,MW:ajA,,,,,,,,
445,nAna,*,MW:nAna,,,,,,,,
446,Aca,*,MW:Aca,,,,,,,,
447,pa,*,MW:pa,,,,,,,,
448,amatA,*,MW:amata,,,,,,,,
449,ra,*,MW:ra,,,,,,,,
450,ISAna,*,MW:ISAna,,,,,,,,
451,ahi,*,MW:ahi,,,,,,,,
452,ahiH,*,MW:ahi,sup,,,1,1,,1,
453,amya,*,1.0536,sup,,,1,1,,8,
454,Una,*,MW:Una,,,,,,,,
455,navana,*,MW:navana,,,,,,,,
456,ka,*,MW:ka,,,,,,,,
457,jAm,*,1.1062,krt,ac,,1,1,,2,
458,vananaM,*,MW:vanana,,,,,,,,
459,tam,*,MW:tad,sup,,,1,1,,2,
460,nfhan,*,MW:nfhan,sup,,,1,1,,8,
461,u,*,MW:u,,,,,,,,
462,asattva,*,MW:asattva,,,,,,,,
463,kaKa,*,1.0128,krt,ac,,1,1,,8,
464,jaja,*,1.0275,krt,ac,,1,1,,8,
465,caRa,*,1.0905,krt,ac,,1,1,,8,
466,haya,*,MW:haya,,,,,,,,
467,Ahan,*,MW:Ahan,sup,,,1,1,,8,
468,ajAya,*,MW:aja,sup,,,1,1,,4,
469,naSanaM,*,MW:naSana,sup,,,3,1,,2,
470,naSanam,*,MW:naSana,sup,,,3,1,,2,
471,anDaH,*,MW:anDas,sup,,,3,1,,2,
472,asI,*,MW:asI,,,,,,,,
473,anan,*,2.0065,krt,Satr,,1,1,,8,
474,rahas,*,MW:rahas,sup,,,3,1,,8,
475,sadaH,*,MW:sadas,sup,,,3,1,,1,
476,la,*,MW:la,,,,,,,,
477,cara,*,MW:cara,sup,,,1,1,,8,
478,maya,*,MW:maya,,,,,,,,
479,BaRa,*,1.0515,krt,ac,,1,1,,8,
480,E,*,MW:E,,,,,,,,
481,sadasam,*,MW:sadas,sup,,,3,1,,2,
482,dadA,*,MW:dadA,,,,,,,,
483,varya,*,MW:varya,,,,,,,,
484,arara,*,MW:arara,,,,,,,,
485,asamam,*,MW:asama,sup,,,1,1,,2,
486,vahamAna,*,1.1159,krt,SAnac,,1,1,,8,
487,mattam,*,MW:matta,sup,,,1,1,,2,
488,Dara,*,MW:Dara,,,,,,,,
489,vasman,*,MW:vasman,,,,,,,,
490,vanaja,*,MW:vanaja,,,,,,,,
491,dasma,*,MW:dasma,,,,,,,,
492,arka,*,MW:arka,,,,,,,,
493,CadAni,*,MW:Cada,sup,,,3,3,,1,
494,mokzam,*,MW:mokza,sup,,,1,1,,2,
495,BAM,*,MW:BA,sup,,,2,1,,2,
496,BAm,*,MW:BA,sup,,,2,1,,2,
497,mantra,*,10.0199,tin,,plot,,1,2,,
498,saham,*,MW:saha,sup,,,1,1,,2,
499,AYjanAya,*,MW:AYjana,sup,,,3,1,,4,
500,naman,*,1.1136,krt,Satr,,1,1,,8,
501,dAhavan,*,MW:dAhavat,sup,,,1,1,,8,
502,ya,*,MW:ya,,,,,,,,
503,naSana,*,MW:naSana,,,,,,,,
504,i,*,MW:i,,,,,,,,
505,badDa,*,MW:badDa,,,,,,,,
506,baBa,*,2.0046,tin,,plit,,3,2,,
507,aha,*,MW:aha,,,,,,,,
508,ananan,*,2.0065,krt,Satr,,1,1,,8,
509,saraH,*,MW:sara,sup,,,1,1,,1,
510,aka,*,1.0901,krt,ac,,1,1,,8,
511,aYca,*,1.1,krt,ac,,1,1,,8,
512,asra,*,MW:asra,,,,,,,,
513,hanman,*,MW:hanman,,,,,,,,
514,hanana,*,MW:hanana,,,,,,,,
515,aDana,*,MW:aDana,,,,,,,,
516,akaka,*,1.0901,krt,vun,,1,1,,8,
517,anAs,*,MW:anAs,,,,,,,,
518,SamanI,*,MW:SamanI,,,,,,,,
519,tatra,*,MW:tatra,,,,,,,,
520,amAya,*,MW:ama,sup,,,1,1,,4,
